id,name,ingridients
1,abalone with oyster sauce,"abalone, scallion, oyster sauce, soy sauce, sugar, cornflour, sunflower oil, ginger, peanut oil"
2,aioli,"white wine vinegar, egg, dijon mustard, brown sugar, salt, black pepper, olive oil, garlic, lemon juice"
3,almond macaroons,"almonds, caster sugar, egg"
4,apple sauce,"apple, sugar, lemon juice, cinnamon, salt, butter"
5,apple strudel,"apple, lemon, sugar, cinnamon, raisins, filo pastry, butter, bread crumbs, confectioners’ sugar"
6,apricot and almond tart,"puff pastry, apricot jam, apricot, almonds, amaretto liqueur, sugar, butter"
7,baba ganoush,"eggplant, garlic cloves, olive oil, yogurt, tahini, lemon juice, salt, black pepper, cilantro"
8,baked cardoons with cheese,"cardoons, salt, black pepper, lemon juice, butter, flour, milk, parmesan cheese"
9,baked figs with cinnamon and honey,"figs, honey, brandy, rum, cinnamon"
10,baked salmon with salsa verde and cucumber,"cucumber, salmon, basil leaves, mint leaves, parsley, white wine vinegar, capers, garlic, anchovies, mustard, salt, black pepper, olive oil"
11,banana bread,"butter, brown sugar, egg, vanilla, flour, baking powder, salt, nutmeg, banana, raisins, walnuts"
12,barbecue sauce,"vegetable oil, onion, garlic, ketchup, brown sugar, cider vinegar, lemon, worcestershire sauce, chili sauce, dijon mustard, black pepper"
13,basic pilaf,"white rice, butter, olive oil, onion, garlic clove, chicken stock, black pepper"
14,bearnaise sauce,"white wine, white wine vinegar, shallots, tarragon, white pepper, butter, egg, salt"
15,beurre blanc,"shallots, white wine, white wine vinegar, butter, salt, white pepper, lemon juice"
16,blinis,"milk, yeast, flour, egg, sugar, butter"
17,blitva and potatoes,"swiss chard, potato, olive oil, garlic, salt, black pepper"
18,blue cheese dressing,"mayonnaise, sour cream, milk, cider vinegar, garlic clove, blue cheese, salt, black pepper"
19,blueberry muffins,"flour, baking powder, salt, nutmeg, cinnamon, sugar, milk, egg, butter, blueberries"
20,boreks,"butter, filo dough, feta cheese, mint, nutmeg, black pepper"
21,borscht,"beets, onion, carrot, celery, butter, tomato, garlic, vegetable stock, bay leaves, cloves, lemon juice, salt, black pepper, sour cream"
22,braised oxtail,"oxtail, flour, salt, black pepper, vegetable oil, onion, carrot, celery, parsnip, rutabaga, beef stock, red wine, bouquet garni"
23,braised red cabbage,"bacon, onion, sugar, apple, red cabbage, red wine vinegar, salt"
24,brandade de morue,"cod, garlic cloves, olive oil, milk, parsley, olive oil, black pepper, bread, olives"
25,buckwheat galettes,"flour, egg, milk, sunflower oil, red onion, ham, thyme leaves, brie, creme fraiche"
26,butterscotch dessert sauce,"butter, brown sugar, whipping cream"
27,caldereta asturiana,"hake, monkfish, red mullet, squid, shrimp, mussels, clams, white wine, olive oil, onion, garlic, cayenne pepper, flour, fish stock"
28,caldo verde,"potato, salt, black pepper, kale, olive oil"
29,camembert en boite,"camembert, garlic clove, white vermouth, white wine, olive oil, thyme, black pepper, french bread"
30,caper butter,"butter, capers, lemon juice"
31,caramel sauce,"sugar, water, butter, cut into pieces, whipping cream"
32,caraway soup,"butter, olive oil, onion, salt, black pepper, garlic, celery ribs, carrot, caraway seeds, russet potatoes, chicken stock, parsley"
33,carrot cake,"flour, sugar, baking soda, baking powder, cinnamon, cloves, nutmeg, salt, corn oil, egg, carrot, walnuts, raisins, cream cheese, butter, vanilla extract, confectioners’ sugar, orange"
34,char-grilled swordfish,"swordfish, olive oil, salt, black pepper"
35,chat masala,"coriander seeds, cumin seeds, fennel seeds, cardamom seeds, red chile peppers, mango powder, garam masala, ginger, asafoetida powder"
36,chateaubriand with bearnaise,"beef, salt, black pepper, butter, olive oil, white wine, white wine vinegar, shallot, tarragon, egg, butter"
37,cheese sauce,"butter, flour, milk, dijon mustard, cheddar cheese, salt, black pepper"
38,cheese souffle,"parmesan, butter, flour, milk, salt, black pepper, cheddar cheese, dijon mustard, egg"
39,cheese straws,"flour, celery salt, cayenne pepper, butter, cut in small pieces, cheddar cheese, egg"
40,cherry pie,"butter, lard, flour, salt, milk, sugar, sugar, cherries, cornstarch, cinnamon, almond extract, lemon juice, egg, water"
41,chicken kiev,"butter, garlic, parsley, lemon, salt, black pepper, chicken, flour, egg, bread crumbs, vegetable oil"
42,chimichurri,"garlic, black pepper, hot red pepper, paprika, oregano, parsley, olive oil, red wine vinegar, salt"
43,chinese stir-fried broccoli,"broccoli, sesame seeds, vegetable oil, soy sauce, hot red pepper, vegetable stock, salt, black pepper"
44,cinnamon rolls,"flour, baking powder, salt, butter, milk, sugar, cinnamon, confectioners’ sugar"
45,corn chowder,"corn, salt, black pepper, bay leaves, olive oil, onion, sage leaves, sage, thyme leaves, carrot, celery, russet potato, milk, paprika"
46,cornbread,"butter, cornmeal, polenta, flour, sugar, baking powder, buttermilk, egg, red chiles"
47,couscous with pine nuts and almonds,"couscous, red bell pepper, raisins, dried apricots, cucumber, olives, almonds, pine nuts, olive oil, lemon juice, mint, salt, black pepper"
48,cranberry jelly,"cranberries, sugar"
49,creme anglaise,"milk, vanilla, egg, sugar"
50,creme brulee,"whipping cream, vanilla, egg, sugar"
51,creme patissiere,"milk, egg, sugar, flour, cornstarch, vanilla extract"
52,cullen skink,"finnan haddock, onion, milk, russet potato, butter, salt, black pepper"
53,deep-fried catfish,"milk, flour, cornmeal, grits, salt, black pepper, oil, lemon"
54,deep-fried cod and chips,"cod fillets, flour, baking powder, salt, egg, sunflower oil, milk, water, russet potatoes, oil, black pepper, lemon"
55,dressed crab,"crab, oil, bread crumbs, mustard powder, cayenne pepper, worcestershire sauce, black pepper, egg, parsley"
56,duck confit,"duck, sea salt, garlic, white peppercorns, coriander seeds, juniper berries, thyme, goose fat"
57,duck in orange sauce,"butter, flour, chicken stock, duck, oranges, sugar, red wine vinegar"
58,dulce de leche,"milk, sugar, white wine vinegar, vanilla ice cream, fruit, wafer cups"
59,eggs benedict,"egg, muffin, butter, bacon, hollandaise sauce"
60,fabada,"morcilla, blood sausage, chorizo, tocino, bacon, pancetta, olive oil, red wine, white beans, saffron powder, bay leaf, chicken stock"
61,falafel,"garbanzo beans, tahini, garlic, salt, cumin, turmeric, coriander, cayenne pepper, parsley, lemon juice, vegetable oil, pita, flatbread, salad greens"
62,fava bean dip,"fava beans, olive oil, onion, salt, black pepper, cannellini beans, fresh dill, scallion"
63,fegato alla veneziana,"olive oil, butter, onion, calf’s liver, salt, black pepper, flour, red wine, white wine vinegar"
64,fennel gratin,"fennel, salt, black pepper, rosemary, cream, parmesan cheese"
65,flatbread,"flour, yeast, salt, olive oil"
66,folded omelet,"egg, salt, black pepper, butter"
67,french onion soup,"butter, sunflower oil, onion, sugar, salt, black pepper, red wine, flour, beef stock, brandy, baguette, garlic, gruyere cheese"
68,fried calamari,"egg, sparkling water, flour, hot red pepper, salt, squid, peanut oil, lemon"
69,gazpacho,"white bread, tomato, cucumber, red pepper, garlic, sherry vinegar, salt, black pepper, olive oil, egg"
70,gefilte fish,"carp fillet, pike fillet, oil, onion, egg, sugar, salt, white pepper, matzo meal"
71,ginger cake,"corn syrup, molasses, butter, sugar, flour, ginger, cinnamon, baking soda, egg, water"
72,gratin dauphinois,"potatoes, salt, black pepper, cream, garlic, nutmeg, butter"
73,gravadlax,"sea salt, sugar, white peppercorns, dill, vodka, brandy, salmon fillet, dijon mustard, sugar, egg, sunflower oil, lemon juice"
74,grilled halibut with beurre blanc,"halibut, butter, shallot, fish stock, white wine vinegar, salt, black pepper, lemon juice, dill"
75,guacamole,"avocado, lime juice, onion, tomato, hot red chiles, cilantro, salt, sour cream"
76,haddock mornay,"haddock, milk, fish stock, butter, flour, cheddar cheese, salt, black pepper, spinach leaves, nutmeg, bread crumbs, parmesan cheese, parsley"
77,harissa,"chiles, garlic, salt, caraway seeds, cumin, olive oil"
78,hollandaise sauce,"white wine vinegar, lemon juice, egg, salt, white pepper, butter"
79,honey-roast ham,"ham, celery, carrot, onion, peppercorn, bay leaves, thyme, parsley, cloves, honey, dijon mustard"
80,honeycomb,"sugar, water, golden syrup, corn syrup, baking soda"
